"Date","Time","Julian","Precip","Pyranometer","PAR","Temp","RH","Wind","WindDir",P,"DateTime"
"01-Jan-2009","00:15",1,0.0,0.0,0.0,-14.23,54.07,4.731,300.4,1008,"2009-01-01T00:15:00"
"01-Jan-2009","00:30",1,0.0,0.0,0.0,-14.28,54.01,4.482,299.9,1008,"2009-01-01T00:30:00"
"01-Jan-2009","00:45",1,0.0,0.0,0.0,-14.39,53.44,4.016,301.6,1008,"2009-01-01T00:45:00"
"01-Jan-2009","01:00",1,0.0,0.0,0.0,-14.46,53.3,4.235,302.1,1008,"2009-01-01T01:00:00"
"01-Jan-2009","01:15",1,0.0,0.0,0.0,-14.52,52.96,4.707,310.7,1008,"2009-01-01T01:15:00"
"01-Jan-2009","01:30",1,0.0,0.0,0.0,-14.6,52.72,4.348,297.3,1009,"2009-01-01T01:30:00"
"01-Jan-2009","01:45",1,0.0,0.0,0.0,-14.68,52.35,4.554,300.5,1009,"2009-01-01T01:45:00"
"01-Jan-2009","02:00",1,0.0,0.0,0.0,-14.76,51.79,4.168,309.2,1009,"2009-01-01T02:00:00"
"01-Jan-2009","02:15",1,0.0,0.0,0.0,-14.84,51.43,4.736,307.6,1010,"2009-01-01T02:15:00"
"01-Jan-2009","02:30",1,0.0,0.0,0.0,-14.89,50.61,4.744,309.9,1010,"2009-01-01T02:30:00"
"01-Jan-2009","02:45",1,0.0,0.0,0.0,-14.98,50.6,4.088,302.9,1010,"2009-01-01T02:45:00"
"01-Jan-2009","03:00",1,0.0,0.0,0.0,-15.07,50.43,4.711,301.2,1010,"2009-01-01T03:00:00"
"01-Jan-2009","03:15",1,0.0,0.0,0.0,-15.14,50.13,4.415,300.0,1010,"2009-01-01T03:15:00"
"01-Jan-2009","03:30",1,0.0,0.0,0.0,-15.28,50.33,4.094,307.3,1011,"2009-01-01T03:30:00"
"01-Jan-2009","03:45",1,0.0,0.0,0.0,-15.36,49.73,5.043,313.4,1011,"2009-01-01T03:45:00"
"01-Jan-2009","04:00",1,0.0,0.0,0.0,-15.48,49.37,4.829,303.2,1011,"2009-01-01T04:00:00"
"01-Jan-2009","04:15",1,0.0,0.0,0.0,-15.55,49.58,3.765,302.9,1012,"2009-01-01T04:15:00"
"01-Jan-2009","04:30",1,0.0,0.0,0.0,-15.62,49.02,4.756,294.0,1012,"2009-01-01T04:30:00"
"01-Jan-2009","04:45",1,0.0,0.0,0.0,-15.76,49.59,3.487,297.3,1012,"2009-01-01T04:45:00"
"01-Jan-2009","05:00",1,0.0,0.0,0.0,-15.84,49.44,4.089,301.6,1012,"2009-01-01T05:00:00"
"01-Jan-2009","05:15",1,0.0,0.0,0.0,-15.96,49.58,4.271,303.4,1013,"2009-01-01T05:15:00"
"01-Jan-2009","05:30",1,0.0,0.0,0.0,-15.96,49.22,4.168,302.9,1013,"2009-01-01T05:30:00"
"01-Jan-2009","05:45",1,0.0,0.0,0.0,-16.07,49.52,3.722,293.3,1013,"2009-01-01T05:45:00"
"01-Jan-2009","06:00",1,0.0,0.0,0.0,-16.12,49.75,4.16,301.7,1014,"2009-01-01T06:00:00"
"01-Jan-2009","06:15",1,0.0,0.0,0.0,-16.12,50.06,4.443,297.7,1014,"2009-01-01T06:15:00"
"01-Jan-2009","06:30",1,0.0,0.0,0.0,-16.16,50.71,4.816,298.7,1014,"2009-01-01T06:30:00"
"01-Jan-2009","06:45",1,0.0,0.0,0.0,-16.09,50.89,5.432,304.3,1014,"2009-01-01T06:45:00"
"01-Jan-2009","07:00",1,0.0,0.0,0.357,-16.02,51.1,4.845,297.8,1014,"2009-01-01T07:00:00"
"01-Jan-2009","07:15",1,0.0,0.003,5.162,-15.9,50.97,5.504,307.9,1014,"2009-01-01T07:15:00"
"01-Jan-2009","07:30",1,0.0,0.009,18.89,-15.82,50.73,5.097,305.7,1014,"2009-01-01T07:30:00"
"01-Jan-2009","07:45",1,0.0,0.017,40.61,-15.75,50.59,5.126,297.0,1015,"2009-01-01T07:45:00"
"01-Jan-2009","08:00",1,0.0,0.06,86.2,-15.54,50.37,4.119,298.8,1015,"2009-01-01T08:00:00"
"01-Jan-2009","08:15",1,0.0,0.116,153.8,-15.14,49.07,4.553,304.0,1015,"2009-01-01T08:15:00"
"01-Jan-2009","08:30",1,0.0,0.152,212.9,-14.82,48.15,4.391,294.7,1015,"2009-01-01T08:30:00"
"01-Jan-2009","08:45",1,0.0,0.187,272.0,-14.58,47.52,4.899,303.4,1016,"2009-01-01T08:45:00"
"01-Jan-2009","09:00",1,0.0,0.221,332.5,-14.35,46.65,4.992,303.8,1016,"2009-01-01T09:00:00"
"01-Jan-2009","09:15",1,0.0,0.253,390.2,-14.18,46.57,5.319,301.0,1016,"2009-01-01T09:15:00"
"01-Jan-2009","09:30",1,0.0,0.284,446.7,-13.85,45.56,4.876,295.9,1017,"2009-01-01T09:30:00"
"01-Jan-2009","09:45",1,0.254,0.313,500.1,-13.65,44.82,5.255,310.5,1017,"2009-01-01T09:45:00"
"01-Jan-2009","10:00",1,0.0,0.339,547.6,-13.44,44.12,5.081,300.0,1017,"2009-01-01T10:00:00"
"01-Jan-2009","10:15",1,0.0,0.36,587.6,-12.95,42.89,3.848,308.4,1017,"2009-01-01T10:15:00"
