Date,Time,Julian,Precip,Pyranometer,PAR,Temp,RH,Wind,WindDir,BAR
1-Jan-2015,00:15,1,0.000,0.000,0.000,-11.9,91,0.01,275.2,1018
1-Jan-2015,00:30,1,0.000,0.000,0.000,-11.9,91.3,0.04,275.2,1018
1-Jan-2015,00:45,1,0.000,0.000,0.000,-12.0,91.6,0.04,275.3,1018
1-Jan-2015,01:00,1,0.000,0.000,0.000,-11.8,92.1,0.09,248.8,1017
1-Jan-2015,01:15,1,0.000,0.000,0.000,-11.3,93,0.18,303.3,1017
1-Jan-2015,01:30,1,0.000,0.000,0.000,-10.9,92.8,0.03,325.2,1017
1-Jan-2015,01:45,1,0.000,0.000,0.000,-10.7,92.5,0.15,303.1,1017
1-Jan-2015,02:00,1,0.000,0.000,0.000,-10.4,91.9,0.19,211.0,1017
1-Jan-2015,02:15,1,0.000,0.000,0.000,-9.5,85.9,0.63,202.6,1017
1-Jan-2015,02:30,1,0.000,0.000,0.000,-8.6,76,0.93,245.1,1016
1-Jan-2015,02:45,1,0.000,0.000,0.000,-8.2,69.02,1.13,235.0,1016
1-Jan-2015,03:00,1,0.000,0.000,0.000,-8.0,67.85,1.03,242.6,1016
1-Jan-2015,03:15,1,0.000,0.000,0.000,-7.9,67.1,0.58,210.9,1016
1-Jan-2015,03:30,1,0.000,0.000,0.000,-7.9,66.23,0.82,210.6,1016
1-Jan-2015,03:45,1,0.000,0.000,0.000,-7.7,64.55,1.12,213.0,1016
1-Jan-2015,04:00,1,0.000,0.000,0.000,-7.5,63.03,1.47,226.4,1015
1-Jan-2015,04:15,1,0.000,0.000,0.000,-7.5,62.56,1.11,237.4,1015
1-Jan-2015,04:30,1,0.000,0.000,0.000,-7.7,63.74,0.80,215.2,1015
1-Jan-2015,04:45,1,0.000,0.000,0.000,-7.9,65.3,0.65,201.2,1015
1-Jan-2015,05:00,1,0.000,0.000,0.000,-8.3,66.97,0.69,211.4,1015
1-Jan-2015,05:15,1,0.000,0.000,0.000,-8.2,66.99,1.08,218.4,1015
1-Jan-2015,05:30,1,0.000,0.000,0.000,-7.8,65.31,1.24,226.6,1015
1-Jan-2015,05:45,1,0.000,0.000,0.000,-7.5,63.6,1.05,236.8,1015
1-Jan-2015,06:00,1,0.000,0.000,0.000,-7.4,63.06,1.36,229.8,1016
1-Jan-2015,06:15,1,0.000,0.000,0.000,-7.3,62.64,1.60,238.3,1016
1-Jan-2015,06:30,1,0.000,0.000,0.000,-7.2,62.11,1.39,235.9,1016
1-Jan-2015,06:45,1,0.000,0.000,0.000,-7.1,61.83,1.02,246.3,1016
1-Jan-2015,07:00,1,0.000,0.000,0.512,-7.3,62.2,0.83,223.3,1016
1-Jan-2015,07:15,1,0.000,0.003,5.205,-7.5,63.34,0.61,214.8,1016
1-Jan-2015,07:30,1,0.000,0.008,18.020,-7.9,65.25,0.80,197.2,1016
1-Jan-2015,07:45,1,0.000,0.015,37.330,-7.9,65.32,1.02,204.5,1016
1-Jan-2015,08:00,1,0.000,0.050,76.400,-7.6,64.64,1.05,220.4,1016
1-Jan-2015,08:15,1,0.000,0.109,142.200,-6.8,62,1.30,216.6,1017
1-Jan-2015,08:30,1,0.000,0.144,197.600,-5.9,58.4,1.47,215.5,1017
1-Jan-2015,08:45,1,0.000,0.176,252.100,-5.2,54.87,1.85,237.1,1017
1-Jan-2015,09:00,1,0.000,0.209,307.000,-4.7,51.9,2.54,244.0,1017
1-Jan-2015,09:15,1,0.000,0.240,361.700,-4.2,50.51,2.43,236.7,1017
1-Jan-2015,09:30,1,0.000,0.269,412.400,-3.9,49.4,2.36,243.3,1017
1-Jan-2015,09:45,1,0.000,0.296,460.000,-3.4,47.59,2.06,237.5,1017
1-Jan-2015,10:00,1,0.000,0.320,503.300,-3.0,46.45,1.79,239.6,1016
1-Jan-2015,10:15,1,0.000,0.342,544.800,-2.6,44.73,2.18,235.6,1016
1-Jan-2015,10:30,1,0.000,0.363,580.600,-2.4,42.97,2.37,226.2,1016
1-Jan-2015,10:45,1,0.000,0.381,610.900,-2.1,41.67,2.74,229.1,1016
1-Jan-2015,11:00,1,0.000,0.395,633.200,-1.8,40.28,2.45,232.2,1016
